powf(y,t)*cosf(v)>z*2+w*3+x*7
w
begin data
-1.51004,6.10948e-07
-1.51004,-2.25008e-06
-1.51004,3.47197e-06
-1.51004,6.10948e-07
-1.51004,-2.25008e-06
-1.51004,6.10948e-07
-1.51004,-2.25008e-06
-1.51004,-5.1111e-06
-1.51004,-4.15742e-06
-1.51004,-7.97212e-06
-1.51004,-9.87947e-06
-1.5,-0.0301336
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2,1.46987
-2,1.46987
-2,1.46987
-1.5,-0.0301279
-1.5,-0.0301307
-1.5,-0.0301336
-2.46154,2.85449
-2.46154,2.85449
-2.46154,2.85448
-2.5,2.96987
-2.5,2.96987
-2.5,2.96987
-2.4,2.66987
-2.4,2.66987
-2.4,2.66987
-2,1.46987
-2,1.46987
-2,1.46987
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2,1.46987
-2,1.46987
-2,1.46987
-1.5,-0.0301279
-1.5,-0.0301307
-1.5,-0.0301336
-2.46154,2.85449
-2.46154,2.85449
-2.46154,2.85448
-2.5,2.96987
-2.5,2.96987
-2.5,2.96987
-2.4,2.66987
-2.4,2.66987
-2.4,2.66987
-2.45073,2.82205
-2.45073,2.82205
-2.45072,2.82204
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45072,2.82202
-2.45071,2.82201
-2.45071,2.82201
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.82199
-2.4507,2.82198
-2.4507,2.82198
-3,4.46987
-3,4.46987
-3,4.46987
-3.05573,4.63705
-1.14286,-1.10156
-1.14286,-1.10156
-1.14286,-1.10156
-5.05573,10.6371
-2,1.46987
-0.953209,-1.6705
-2.66258,3.4576
-2.65882,3.44634
-2.68758,3.53261
-2.68758,3.53261
-2.68758,3.5326
-2.68641,3.52911
-2.68641,3.5291
-2.68641,3.5291
-2.68483,3.52435
-2.68482,3.52434
-2.68482,3.52434
-2.5,2.96987
-2.5,2.96987
-2.5,2.96987
-2.46154,2.85449
-2.46154,2.85449
-2.46154,2.85448
-2.45071,2.82201
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.82199
-2.4,2.66987
-2.4,2.66987
-2.4,2.66987
-2,1.46987
-2,1.46987
-2,1.46987
-2,1.46987
-2,1.46987
-2,1.46987
-1.51005,5.37932e-06
-1.51004,3.47197e-06
-1.51004,3.47197e-06
-1.51004,2.5183e-06
-1.51004,2.5183e-06
-1.51004,2.5183e-06
-1.51004,1.56462e-06
-1.51004,1.56462e-06
-1.51004,6.10948e-07
-1.51004,6.10948e-07
-1.51004,-3.42727e-07
-1.51004,-3.42727e-07
-1.51004,-3.42727e-07
-1.51004,-3.42727e-07
-1.51004,-1.2964e-06
-1.51004,-2.25008e-06
-1.51004,-2.25008e-06
-1.51004,-3.20375e-06
-1.51004,-3.20375e-06
-1.51004,-4.15742e-06
-1.5,-0.0301279
-1.5,-0.0301279
-1.5,-0.0301307
-1.5,-0.0301307
-1.5,-0.0301336
-1.51004,-3.20375e-06
-1.51004,2.5183e-06
-1.51004,-3.42727e-07
-1.51004,-3.20375e-06
-1.51004,1.56462e-06
-1.51004,-1.2964e-06
-1.51004,-4.15742e-06
-1.5,-0.0301279
-1.5,-0.0301307
-1.5,-0.0301336
-1.51004,3.47197e-06
-1.51004,6.10948e-07
-1.51004,-2.25008e-06
-1.51004,2.5183e-06
-1.51004,-3.42727e-07
-1.51004,-3.20375e-06
-1.51004,2.5183e-06
-1.51004,-3.42727e-07
-1.51004,-3.20375e-06
-1.51003,-3.65824e-05
-1.51003,-3.94434e-05
-1.51003,-4.23044e-05
-1.51004,-9.87947e-06
-1.51004,-1.27405e-05
-1.51004,-1.56015e-05
-1.51004,3.47197e-06
-1.51004,6.10948e-07
-1.51004,-2.25008e-06
-1.51004,3.47197e-06
-1.51004,6.10948e-07
-1.51004,-2.25008e-06
-1.51004,3.47197e-06
-1.51004,6.10948e-07
-1.51004,-2.25008e-06
-1.51004,6.10948e-07
-1.51004,-2.25008e-06
-1.51004,-5.1111e-06
-1.51004,-4.15742e-06
-1.51004,-7.97212e-06
-1.51004,-9.87947e-06
-1.5,-0.0301336
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2.45071,2.822
-2,1.46987
-2,1.46987
-2,1.46987
-1.5,-0.0301279
-1.5,-0.0301307
-1.5,-0.0301336
-2.46154,2.85449
-2.46154,2.85449
-2.46154,2.85448
-2.5,2.96987
-2.5,2.96987
-2.5,2.96987
-2.4,2.66987
-2.4,2.66987
-2.4,2.66987
-0.953209,-1.6705
-0.081216,-4.28648
-0.081215,-4.28649
-0.0812139,-4.28649
-0,-4.53013
0.252331,-5.28713
0.380865,-5.67272
0.380865,-5.67272
0.380866,-5.67273
0.380866,-5.67273
0.380867,-5.67273
0.380867,-5.67273
0.605019,-6.34519
-2.45072,2.82202
-2.45071,2.82201
-2.45071,2.82201
-5.50644,11.9892
-2.45071,2.822
0.605018,-6.34518
1.0384,-7.64532
1.04552,-7.66668
1.05573,-7.69732
1.54568,-9.16718
-1.51004,3.47197e-06
-1.51004,6.10948e-07
-1.51004,-2.25008e-06
-4.56578,9.1672
